problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,n_sv,sv_min,sv_p10,sv_median,sv_p90,sv_max,top_energy_frac,effective_rank,participation_rank,tiny_frac
cusp_abs,Jordan Muon,jordan_muon,2,60989,100,2,32x32,3.445,3.445,-4.775,2.032,32,6.164322385870946e-10,2.7841261385219697e-08,2.0027214873152843e-06,0.0012140218866989018,0.9723379611968994,0.9454437145081583,1.2367444253880184,1.1150397548233202,0.84375
cusp_abs,Jordan Muon,jordan_muon,2,60989,100,3,32x32,3.445,3.445,-4.775,2.032,32,3.9053768552399504e-10,1.340843818198323e-08,1.2424570172697713e-06,0.0009430606267414994,0.9938686490058899,0.987777331212419,1.0686713999777488,1.024745791390235,0.90625
cusp_abs,Jordan Muon,jordan_muon,2,60989,100,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999986290931702,0.9999986290931702,0.9999986290931702,0.9999986290931702,0.9999986290931702,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,250,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999880790710449,0.9999880790710449,0.9999880790710449,0.9999880790710449,0.9999880790710449,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,250,1,32x32,3.445,3.445,-4.775,2.032,32,7.343748942290063e-10,7.476259833438803e-09,9.946689516482365e-08,0.000761876621982083,0.9642305374145508,0.9297442667294279,1.2897821040842476,1.1502744933005327,0.90625
cusp_abs,Jordan Muon,jordan_muon,2,60989,250,2,32x32,3.445,3.445,-4.775,2.032,32,1.1953908973794114e-09,1.4800631742417636e-08,7.187973949385196e-07,0.0028649040497839484,0.9773999452590942,0.9553161738631881,1.2007554922420363,1.0933484581877657,0.84375
cusp_abs,Jordan Muon,jordan_muon,2,60989,250,3,32x32,3.445,3.445,-4.775,2.032,32,5.924001844626048e-10,1.0827085450415552e-08,5.515585996818118e-07,0.0038835986983031113,0.9940100908279419,0.9880621088500133,1.067470331451692,1.0241628979343136,0.875
cusp_abs,Jordan Muon,jordan_muon,2,60989,250,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999961256980896,0.9999961256980896,0.9999961256980896,0.9999961256980896,0.9999961256980896,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,499,0,32x1,3.445,3.445,-4.775,2.032,1,0.999993622303009,0.999993622303009,0.999993622303009,0.999993622303009,0.999993622303009,1.0,1.0,1.0,0.0
cusp_abs,Jordan Muon,jordan_muon,2,60989,499,1,32x32,3.445,3.445,-4.775,2.032,32,1.0017974227949367e-09,9.889583729716378e-09,1.1849768100091751e-07,0.0039826526539400295,0.8061386942863464,0.6498613360798515,1.9258071419308231,1.8378438052969692,0.875
cusp_abs,Jordan Muon,jordan_muon,2,60989,499,2,32x32,3.445,3.445,-4.775,2.032,32,2.8932473083997934e-10,1.0389009386102544e-08,4.7528413915642886e-07,0.006726944365073008,0.959014356136322,0.919711149669264,1.3350067306261661,1.1736975241891088,0.84375
cusp_abs,Jordan Muon,jordan_muon,2,60989,499,3,32x32,3.445,3.445,-4.775,2.032,32,3.381465940588413e-11,8.421484842813243e-09,6.068416666948906e-07,0.004816612019203612,0.9922385215759277,0.9845394205710155,1.0869471884243735,1.0314269721514129,0.84375
cusp_abs,Jordan Muon,jordan_muon,2,60989,499,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999992251396179,0.9999992251396179,0.9999992251396179,0.9999992251396179,0.9999992251396179,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,0,0,32x1,3.867,3.867,-4.4,1.399,1,0.9999827742576599,0.9999827742576599,0.9999827742576599,0.9999827742576599,0.9999827742576599,1.0,1.0,1.0,0.0
cusp_abs,FastNS Muon,fastns_muon,0,61087,0,1,32x32,3.867,3.867,-4.4,1.399,32,6.50802536861228e-11,2.5080508780916944e-09,2.7447033090766126e-08,1.0046454326584371e-05,0.9976966381072998,0.9954008222883224,1.0298360638498105,1.0092407333151325,0.90625
cusp_abs,FastNS Muon,fastns_muon,0,61087,0,2,32x32,3.867,3.867,-4.4,1.399,32,4.6626029426288795e-11,9.44336669972401e-10,1.4042325968688374e-08,5.200977290087405e-06,0.9998568892478943,0.999715774765253,1.0026140736110905,1.000568612498196,0.9375
cusp_abs,FastNS Muon,fastns_muon,0,61087,0,3,32x32,3.867,3.867,-4.4,1.399,32,3.643020607402292e-11,1.0849613207852827e-09,1.892790457702631e-08,1.019081122421996e-06,0.9999411702156067,0.9998842703168372,1.0011666500295198,1.000231486191117,0.9375
cusp_abs,FastNS Muon,fastns_muon,0,61087,0,4,1x32,3.867,3.867,-4.4,1.399,1,0.999999463558197,0.999999463558197,0.999999463558197,0.999999463558197,0.999999463558197,1.0,1.0,1.0,0.0
