problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,sv_index,singular_value
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,30,2.5161532857254088e-09
low_frequency,Jordan Muon,jordan_muon,0,987,25,1,32x32,3.445,3.445,-4.775,2.032,31,8.698948228413883e-10
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,0,0.9602221846580505
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,1,0.27205294370651245
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,2,0.062293533235788345
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,3,0.008517353795468807
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,4,0.0019729838240891695
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,5,0.0004889487754553556
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,6,0.00021679540805052966
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,7,8.775202149990946e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,8,4.400686520966701e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,9,3.685157935251482e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,10,2.0412562662386335e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,11,1.3785851479042321e-05
low_frequency,Jordan Muon,jordan_muon,0,987,25,2,32x32,3.445,3.445,-4.775,2.032,12,6.090756414778298e-06
